ad_library_id,advertiser_name,published_date,media_type,ad_creative_body,ad_creative_body_lang
747383634836917,Codefinity,2025-08-27,image-only,Sign up for the challenge 🏁,en
1310120743997191,Codefinity,2025-08-27,image-only,Sign up for the challenge 🏁,en
1119085450189895,Coursiv,2025-08-27,image-only,Kick-start your AI journey with Coursiv 🚀,en
1654391485256160,Eduvato,2025-08-27,video-only,Join the 28 Day AI Challenge 🚀,en
764795682848941,Eduvato,2025-08-27,video-only,Join the 28 Day AI Challenge 🚀,en
788709030779728,Eduvato,2025-08-27,video-only,Join the 28 Day AI Challenge 🚀,en
1564459887856223,Eduvato,2025-08-27,video-only,Join the 28 Day AI Challenge 🚀,en
1094255432330694,Coursiv,2025-08-27,image-only,Kick-start your AI journey with Coursiv 🚀,en
1467909381074270,Coursiv,2025-08-27,image-only,Kick-start your AI journey with Coursiv 🚀,en
1252452926634302,Coursiv,2025-08-27,image-only,Kick-start your AI journey with Coursiv 🚀,en
2314500749008424,Deepstash,2025-08-27,video-only,"Use Deepstash for a few minutes during coffee ☕, at work or after. It's good for your career. Great for your life. Give it a shot!",en
1032091165499280,Duomo,2025-08-27,video-only,Replace scrolling with God's word,en
3151667358332481,Coursiv,2025-08-27,video-only,Kick-start your AI journey with Coursiv 🚀,en
780365181041300,Headway Growth Club,2025-08-27,video-only,"🚀 15 Minutes a Day Can Change Everything! No time for books? No problem. ✅ Learn from bestselling books in just 15 minutes ✅ Read or listen like a podcast—anytime, anywhere ✅ Save key insights and apply them instantly Upgrade your mind without rearranging your life.",en
1111679991029315,Headway Growth Club,2025-08-27,video-only,"🚀 15 Minutes a Day Can Change Everything! No time for books? No problem. ✅ Learn from bestselling books in just 15 minutes ✅ Read or listen like a podcast—anytime, anywhere ✅ Save key insights and apply them instantly Upgrade your mind without rearranging your life.",en
1099348038838422,Headway Growth Club,2025-08-27,image-only,"🏈 If you came to this point, you are definitely ready to take action. Want to help your kid excel? In sports, in school, in life? Download this 🤝 microlearning app and gain expert insights on how to guide your child’s success.",en
766689149339833,Headway Growth Club,2025-08-27,image-only,"🏈 If you came to this point, you are definitely ready to take action. Want to help your kid excel? In sports, in school, in life? Download this 🤝 microlearning app and gain expert insights on how to guide your child’s success.",en
1459135371798330,LeapAhead-15min summary,2025-08-27,image-only,Profitez d'un apprentissage détendu et d'un développement personnel avec cette application intuitive de résumés de livres !,fr
1496333578064695,Headway Growth Club,2025-08-28,image-only,"🏈 If you came to this point, you are definitely ready to take action. Want to help your kid excel? In sports, in school, in life? Download this 🤝 microlearning app and gain expert insights on how to guide your child’s success.",en
24259906320302737,Headway Growth Club,2025-08-27,image-only,"🏈 If you came to this point, you are definitely ready to take action. Want to help your kid excel? In sports, in school, in life? Download this 🤝 microlearning app and gain expert insights on how to guide your child’s success.",en
1117033603697100,Headway Growth Club,2025-08-27,image-only,"🏈 If you came to this point, you are definitely ready to take action. Want to help your kid excel? In sports, in school, in life? Download this 🤝 microlearning app and gain expert insights on how to guide your child’s success.",en
2046948139174623,Career Voice,2025-08-27,video-only,"Your voice is your career tool. Speak with clarity, confidence, and power",en
783733120827873,"GrowMe: Audio Books, Summaries",2025-08-27,video-only,Are you ready to become a Better You?🔥💪🏆 Install the GrowMe app and start your Personal Growth Challenge with key insights from the world’s best nonfiction books to read or listen to in just 15 minutes📖,en
4367577556812134,Above Words,2025-08-26,video-only,"Great leaders don’t just talk—they inspire. Learn to speak with confidence, clarity, and authority in just 15 minutes a day. Start your journey to powerful communication now!",en
782071224190180,Above Words,2025-08-26,video-only,"Great leaders don’t just talk—they inspire. Learn to speak with confidence, clarity, and authority in just 15 minutes a day. Start your journey to powerful communication now!",en
2046475072551860,Above Words,2025-08-26,video-only,"Great leaders don’t just talk—they inspire. Learn to speak with confidence, clarity, and authority in just 15 minutes a day. Start your journey to powerful communication now!",en
1270359161078637,Codefinity,2025-08-26,image-only,Sign up for the challenge 🏁,en
1435215284420660,Codefinity,2025-08-26,image-only,Sign up for the challenge 🏁,en
1614766432822216,Codefinity,2025-08-26,image-only,Sign up for the challenge 🏁,en
800227282427527,Codefinity,2025-08-26,image-only,Sign up for the challenge 🏁,en
748457301500819,Codefinity,2025-08-26,image-only,Sign up for the challenge 🏁,en
1391962219599674,Codefinity,2025-08-26,image-only,Sign up for the challenge 🏁,en
2775868999470933,Codefinity,2025-08-26,image-only,Sign up for the challenge 🏁,en
1288341666361677,Codefinity,2025-08-26,image-only,Sign up for the challenge 🏁,en
776711248279140,Codefinity,2025-08-26,image-only,Sign up for the challenge 🏁,en
782760291102960,Codefinity,2025-08-26,image-only,Sign up for the challenge 🏁,en
25156402140682769,Codefinity,2025-08-26,image-only,Sign up for the challenge 🏁,en
1489319475414869,Codefinity,2025-08-26,image-only,Sign up for the challenge 🏁,en
801213275908917,AyahPath,2025-08-26,image-only,Find peace in Allah with AyahPath 🌙,en
1114861240588321,AyahPath,2025-08-26,image-only,Find peace in Allah with AyahPath 🌙,en
1245313917284019,AyahPath,2025-08-26,image-only,Find peace in Allah with AyahPath 🌙,en
1469417211060969,Headway Growth Club,2025-08-26,video-only,"🎧 Listen to 20 books in 20 days! Turn your daily commute into a powerful learning experience with bite-sized book summaries. ✅ 15-minute audio summaries of bestselling books ✅ Learn on the go—anytime, anywhere ✅ Build new skills effortlessly Maximize your time and feed your mind while you move!",en
1071779188415047,Ayatique,2025-08-26,image-only,Start your peaceful listening habit today 🌙✨,en
